Invoice No,Date,Seller Name,Client Name,Seller Tax ID,Seller IBAN,Client Tax ID,Total Amount,Category
68963398,01/16/2017,Tucker-Shaw USS,Trevino-Sanders Michael Squares,960-71-9245,GBO3NATL58994809703909,926-84-4496,99.88,Other
63028625,02/19/2019,"Cummings, Lynn",Barker LLC James,943-98-6156,GB58HOLH68062209469295,902-81-9974,2298.90,Hardware
77980602,05/07/2017,Cohen-Fleming USNS,Hoffman-Foley Harris Villages,979-78-8300,GB55NIBX31153972731194,931-76-4901,314.27,Clothing
48131301,11/05/2019,"Williams, Boone","Berry, Strickland and",919-97-3443,GB63MRUJ38528386706321,928-88-8258,2194.50,Electronics
80871648,02/18/2013,Yang-Pierce James,Wilson-Martinez Tonya Freeway,954-85-0044,GB25ZFAI91755323700041,971-96-3128,200.40,Furniture
46460686,12/23/2017,"Barnes, Parks","Caldwell, Whitehead and",959-97-6402,GB81KEXX59335879906444,917-78-5620,18471.60,Furniture
51335214,03/27/2015,Rivera Group,"Malone, Wilson and",988-71-1654,GB10XNTM38918437896667,928-86-3224,204.27,Kitchen
64855498,08/01/2019,Johnston-Douglas Ana,Thompson Ltd Reed,911-87-7278,GB50JSRM96597568804222,920-94-4056,1.09,Clothing
67973203,09/03/2012,Brown-Russell Steven,Rodriguez Group Alicia,908-81-8033,GB65KTJP50488546271892,Not Found,350.24,Clothing
55623924,03/13/2015,Johns-Brown Kyle,Lopez Inc Carter,957-95-6677,GB64DVYL17422295595700,957-75-6326,5213.90,Electronics
93356118,06/14/2013,Simon-Colon Oconnell,"Robinson, Cannon and",974-95-4763,GB81XWKP43253048936289,976-82-9140,9645.88,Furniture
63279232,04/24/2017,"Allen, Gibbs",Jones-Black Samantha Rue,910-71-3192,GB35ADGI36952318202785,911-98-1694,328.20,Clothing
36433509,03/29/2021,Gutierrez LLC,"Miller, Myers and",903-83-7680,GB40BEQA27978227402725,970-76-7381,12.76,Clothing
90853270,03/04/2013,"Underwood, Rowe",Anderson LLC Lewis,949-77-3177,GB88SNLG26066716895488,942-80-7534,989.67,Electronics
67103708,01/20/2020,French PLC,Hernandez Group Brown,996-90-6108,GB13QPYG54009734345480,939-87-2626,43.96,Other
76098038,08/20/2012,Kennedy-Odonnell Scott,Hinton LLC Lopez,948-84-7030,GB87DYDA89569581986723,954-92-4603,169.25,Beverages
24206086,05/24/2012,"Hall, Hancock",Weber-Roy Angel Oval,912-83-7916,GB91FWQE48139343226359,939-76-7916,8.80,Other
22019496,03/14/2012,Barron-Rodriguez Squares,"Cruz, Navarro and",992-98-4203,GB94NVOV09121691518608,999-82-0519,162.33,Books & Media
31838082,10/19/2013,"Howe, Evans","Lewis, Hansen and",921-78-7122,GB70IAAW06998807129516,902-73-5713,191.76,Clothing
76619276,11/16/2011,"Bailey, Adams",Morgan Ltd Brown,988-86-2916,GB22BWOK82952788901911,971-85-8091,343.87,Beverages
37066060,05/07/2019,Fisher LLC,Nixon Ltd Weiss,913-80-0017,GB20NTHI85246649637030,931-88-7932,1759.88,Other
95434324,10/16/2017,Gross-Aguilar Lindsey,Wood-Mccarty Santos Manor,910-71-2736,GB520HPZ44460592209057,917-72-9048,1026.70,Clothing
94027975,07/22/2014,"Johnson, Williams",Taylor-Levy Garcia Radial,966-99-3696,GB26IDCU76104457507324,989-85-7084,87.96,Clothing
73164326,07/13/2012,Larson-Freeman Hale,"Meyer, Horne and",912-94-4609,GB41AMUU15348762248382,984-91-8041,8377.33,Electronics
14845988,10/25/2017,"Taylor, Chen",Porter-Martinez Robin Roads,911-99-2953,GB69IYPG46840865461250,962-99-2449,1656.47,Electronics
25078556,01/09/2015,Valencia-Pearson Reed,Lambert PLC Melinda,999-81-6272,GB16TPHW33141986905434,946-90-4600,1330.04,Beverages
33965841,11/27/2017,Moore-Kelly Kevin,"Hanson, Mathews and",966-97-4567,GBO9LHJK31212828294340,922-83-1798,228.10,Services
19579298,02/02/2018,Merritt-Gallagher Nathan,Andrews-Rivera Crane Street,964-80-8302,GB68NMGD05138845805366,995-86-0356,23988.86,Furniture
38710038,07/27/2013,Ruiz-Foster Nicole,"Miller, Baldwin and",901-98-6433,GB79HKEA13368293342592,948-80-2132,5989.26,Electronics
44534369,07/05/2017,Davis-Reyes Miller,Burns-Hammond Berger Glens,999-78-1179,GBO4PUHV26263440673897,973-81-6481,11880.00,Furniture
26889356,07/21/2011,Mcintyre-Cox Mary,"Rivera, Santiago and",985-96-5824,GB38EMRN12286421063353,952-99-8679,122.12,Kitchen
89959314,09/01/2012,Robinson Group,Wolf and Sons,959-80-8241,GB580KMX16153133332824,989-78-0289,1740.04,Beverages
77658002,01/21/2014,"Mckenzie, Clay",Espinoza LLC Davis,973-94-2620,GB69HUXE82460947316450,968-84-7486,323.14,Clothing
74427960,04/03/2014,"Butler, Salazar","Wright, Beasley and",936-75-4533,GB52FDWQ97948410395314,935-98-7501,880.89,Beverages
83155269,10/27/2020,"Dickerson, Brewer","Powell, Norman and",945-76-7548,GB330VJQ60589495127865,910-92-5067,324.50,Clothing
20237936,11/08/2020,Santos-Lee Smith,Jackson PLC Susan,994-91-2356,GB94TGZE67704267849890,986-86-7893,428.90,Clothing
85163803,04/23/2014,Rangel-Edwards Cynthia,"Collins, Moody and",990-83-3144,GB78NBGI14747189130052,911-86-9777,13111.43,Electronics
60552183,02/01/2020,Campbell Group,Moreno-Black Dana Knoll,988-91-0820,GB66WOCT02867785459105,970-81-8907,39974.41,Furniture
50840230,04/27/2017,Reyes Ltd,"Parker, Hood and",927-94-2144,GB86IMIE79896201895578,941-94-2912,593.20,Electronics
12408005,08/08/2019,Gonzales-Hart Owens,"Shepard, Garcia and",941-94-8001,GB93DJJF79261659731272,967-83-3797,186.96,Clothing
58269935,11/12/2017,"Brown, Jackson",Stephens LLC Garcia,912-75-0363,GBO7GVIT26822260415384,909-84-3726,457.91,Clothing
38086377,04/22/2018,"Hobbs, Chavez",Martinez-Casey Eric Forks,931-99-7123,GB43JHYX05772543367085,974-74-6322,415.69,Electronics
24417396,03/02/2012,Anderson-Garcia Rodney,Adkins Inc Melissa,980-84-2358,GB94JCOK75705569795416,984-74-3818,3153.58,Electronics
51661013,05/11/2021,Rivas PLC,Walker PLC Lopez,901-98-8624,GB77VPGW87361378022647,984-96-1074,198.00,Clothing
35712927,05/02/2018,Barker-Hill PSC,"Cook, Duncan and",999-88-7194,GB44CVNS82331947643771,908-78-4834,833.12,Beverages
26660573,03/08/2014,"Nelson, Norris",Sparks-Burton Steven Flats,986-79-0395,GBO7KDNO98244986566456,932-97-8239,155.98,Beverages
35163496,10/28/2019,"Mcpherson, Stark",Holland LLC Key,915-87-7987,GB300HIA82911985424024,937-90-2203,792.10,Clothing
14165207,02/13/2014,Patel-Park Wyatt,"Adkins, Hodges and",974-78-8779,GB17UACN61973740684599,978-85-6532,97.76,Other
69117260,08/12/2019,"Robinson, Solis",James and Sons,916-86-1652,GB74BPCL37759195370817,982-70-3830,46.75,Other
53272540,12/16/2015,"Melendez, Clark","Cabrera, Todd and",976-76-0986,GB52XSUT98396987449992,974-85-0827,389.27,Books & Media
94138597,02/05/2018,Ochoa-Scott Amy,Green LLC Sara,921-82-1053,GB39FJQT64782214064821,965-99-1263,1773.75,Clothing
13507183,09/09/2015,Chavez Ltd,Roberts Ltd Ethan,904-77-6503,GB41RNKZ61126734301911,956-94-0439,1129.39,Electronics
74819543,10/07/2020,"Solomon, Ford",Hamilton-Jackson Jennifer Loaf,954-73-2478,GB30GNJJ79141055834845,988-96-5706,137.50,Kitchen
65498230,02/16/2021,Duncan Ltd,Edwards-Archer Unit Box,964-84-8594,GBO4BWVQ00110029381531,909-91-4017,50.05,Furniture
51467723,04/21/2019,Johnson-Brooks Kristina,"Proctor, Morgan and",964-92-2746,GB98EUIF69254716304143,939-82-6262,106498.92,Furniture
